,テーブル名,marketing_ko_careerlib_person_age_type,,,,,,,,,
,コメント,KO キャリア図鑑 個人 年齢 タイプ,,,,,,,,,
,複合ユニーク,,,,,,,,,,
,全体補足,,,,,,,,,,
,,,,,,,,,,,
,テーブル定義,,,,,,,,,,
No,Name,Comment,Type,Primary Key,Not Null,Unique,Default,Foreign Key,Relation,Public Visible,Cascade Delete
1,id,ID,int,TRUE,TRUE,TRUE,,,,TRUE,
2,name,名,text,FALSE,TRUE,TRUE,,,,TRUE,
3,created_at,作成日時,timestamp(0) without time zone,FALSE,TRUE,FALSE,now(),,,TRUE,
4,updated_at,更新日時,timestamp(0) without time zone,FALSE,TRUE,FALSE,now(),,,TRUE,
5,deleted_at,削除日時,timestamp(0) without time zone,FALSE,FALSE,FALSE,,,,TRUE,
,,,,,,,,,,,
,シードデータ,,,,,,,,,,
,id,age_range,,,,,,,,,
,1,18～24歳,,,,,,,,,
,2,25～29歳,,,,,,,,,
,3,30～34歳,,,,,,,,,
,4,35～39歳,,,,,,,,,
,5,40～44歳,,,,,,,,,
,6,45～49歳,,,,,,,,,
,7,50～54歳,,,,,,,,,
,8,55～59歳,,,,,,,,,
,9,60～64歳,,,,,,,,,
,10,65～69歳,,,,,,,,,